,Gene_symbol,Chromosome,Start.position,End.position,Ensembl,Gene.Symbol,Pearson,Spearman
6737,MBD2,18,54151601,54224788,ENST00000256429,MBD2,0.559906473,0.50958248
165,IER3IP1,18,47152834,47176374,ENST00000256433,IER3IP1,-0.032785856,-0.055181168
3069,MRPS36,5,69217760,69230129,ENST00000256441,MRPS36,0.281101267,0.315300902
5000,ARL8B,3,5122220,5180911,ENST00000256496,ARL8B,0.472022046,0.42889314
6350,EMC7,15,34084017,34101948,ENST00000256545,EMC7,0.503211372,0.491520126
591,ARF3,12,48935723,48957551,ENST00000256682,ARF3,0.079853659,0.059630537
6762,SLC38A2,12,46358189,46372867,ENST00000256689,SLC38A2,0.51088744,0.510768238
8819,NARS,18,57600656,57622173,ENST00000256854,NARS,0.624288368,0.611102207
NA.26,RTL8C,X,135032366,135033546,ENST00000257013,NA,NA,NA
1017,PRPF38A,1,52404564,52420839,ENST00000257181,PRPF38A,0.109093747,0.124117762
1264,TIMM10,11,57528463,57530765,ENST00000257245,TIMM10,0.197247694,0.155923222
NA.27,TMEM60,7,77793728,77798580,ENST00000257663,NA,NA,NA
4189,AKIRIN2,6,87675072,87702209,ENST00000257787,AKIRIN2,0.356767149,0.384752216
3141,NAT10,11,34105602,34146910,ENST00000257829,NAT10,0.391998019,0.319957137
4205,CDK4,12,57747727,57752521,ENST00000257904,CDK4,0.528212386,0.385735435
3071,OS9,12,57694145,57721555,ENST00000257966,OS9,0.388515227,0.31545365
5051,PRADC1,2,73228006,73233228,ENST00000258083,PRADC1,0.402834029,0.430980141
NA.28,MRPL53,2,74471958,74473322,ENST00000258105,NA,NA,NA
6470,DYNC1LI2,16,66720893,66751798,ENST00000258198,DYNC1LI2,0.587265181,0.496287044
1031,MRPL44,2,223957404,223967714,ENST00000258383,MRPL44,0.102830406,0.125777782
6091,CAB39,2,230712845,230821075,ENST00000258418,CAB39,0.479012423,0.479391451
1517,COX5B,2,97646040,97648383,ENST00000258424,COX5B,0.196932453,0.182755436
748,MRPS9,2,105037983,105099960,ENST00000258455,MRPS9,0.091573425,0.087990939
760,MED4,13,48075956,48095104,ENST00000258648,MED4,0.081171692,0.090098158
3805,NUDT15,13,48037567,48047222,ENST00000258662,NUDT15,0.338706891,0.3618719
NA.29,KDELR2,7,6461081,6484242,ENST00000258739,NA,NA,NA
3912,CALCOCO2,17,48830988,48865245,ENST00000258947,CALCOCO2,0.429606636,0.368279374
6658,RSAD1,17,50478800,50485975,ENST00000258955,RSAD1,0.517938461,0.505827152
3306,NMT1,17,45061312,45109009,ENST00000258960,NMT1,0.344656817,0.331574458
1799,VEZF1,17,57971547,57982864,ENST00000258963,VEZF1,0.217512152,0.21131159
NA.30,MARCH7,2,159712499,159771027,ENST00000259050,NA,NA,NA
9608,TOR1B,9,129803153,129811281,ENST00000259339,TOR1B,0.68268512,0.659692577
1959,PSMB7,9,124353466,124415439,ENST00000259457,PSMB7,0.255938477,0.225745117
7650,DERL1,8,123013164,123042423,ENST00000259512,DERL1,0.609980321,0.550957966
1568,DCTN3,9,34613551,34620480,ENST00000259632,DCTN3,0.178520613,0.186804908
NA.31,HINT2,9,35812960,35815021,ENST00000259667,NA,NA,NA
4277,FAM8A1,6,17600355,17611719,ENST00000259963,FAM8A1,0.379544852,0.389247786
NA.32,THAP12,11,76349956,76380942,ENST00000260045,NA,NA,NA
1001,MRPL15,8,54135210,54147901,ENST00000260102,MRPL15,0.123220505,0.121244216
7856,BUD13,11,116748170,116772988,ENST00000260210,BUD13,0.56969175,0.561921995
6308,FDX1,11,110429883,110464881,ENST00000260270,FDX1,0.552927198,0.489519256
1361,RPLP1,15,69452784,69456194,ENST00000260379,RPLP1,0.173110407,0.16643797
1234,RSL24D1,15,55180806,55197067,ENST00000260443,RSL24D1,0.151187753,0.151740272
2536,ACTR2,2,65227753,65271253,ENST00000260641,ACTR2,0.304458366,0.276820347
4730,PREB,2,27130756,27134675,ENST00000260643,PREB,0.455589417,0.4133516
4105,LRPPRC,2,43886508,43996005,ENST00000260665,LRPPRC,0.376696711,0.38030418
6242,DNAJC13,3,132417526,132539032,ENST00000260818,DNAJC13,0.490965409,0.48618334
3250,ASNSD1,2,189661420,189670831,ENST00000260952,ASNSD1,0.343324239,0.328011611
8290,SSB,2,169798812,169812064,ENST00000260956,SSB,0.573711107,0.583176081
5777,COX17,3,119669271,119677403,ENST00000261070,COX17,0.476759543,0.465020198
6055,WBP11,12,14784579,14803540,ENST00000261167,WBP11,0.472966332,0.47780992
1842,PSMC1,14,90256495,90275429,ENST00000261303,PSMC1,0.193670892,0.2146697
7416,PEBP1,12,118135858,118145584,ENST00000261313,PEBP1,0.524680739,0.540687414
1820,YPEL5,2,30146961,30160533,ENST00000261353,YPEL5,0.248957139,0.213378155
739,NUP133,1,229440260,229508341,ENST00000261396,NUP133,0.052082913,0.086864597
6305,UBE2K,4,39698044,39782792,ENST00000261427,UBE2K,0.530996726,0.489209869
5990,PPP2R5A,1,212285537,212361863,ENST00000261461,PPP2R5A,0.535283088,0.474656351
1459,PSMA6,14,35292357,35317474,ENST00000261479,PSMA6,0.202412361,0.176898131
7527,IPO5,13,97953675,98024297,ENST00000261574,IPO5,0.590180654,0.545796723
7319,USP14,18,158608,214629,ENST00000261601,USP14,0.569727948,0.536220117
4750,ARL1,12,101393120,101407820,ENST00000261636,ARL1,0.467030062,0.414832083
742,BFAR,16,14632815,14669236,ENST00000261658,BFAR,0.098557984,0.087154243
8889,KPNA3,13,49699307,49792921,ENST00000261667,KPNA3,0.610542593,0.615735177
2692,SFSWAP,12,131711089,131799737,ENST00000261674,SFSWAP,0.312298342,0.290040114
NA.33,RTRAF,14,51989475,52010691,ENST00000261700,NA,NA,NA
1079,PSMD11,17,32444261,32483318,ENST00000261712,PSMD11,0.128547505,0.132627715
6314,TAOK1,17,29390600,29551904,ENST00000261716,TAOK1,0.453362293,0.489851646
2580,BTBD1,15,83016422,83067354,ENST00000261721,BTBD1,0.321359158,0.279872367
8705,ERP29,12,112013316,112023451,ENST00000261735,ERP29,0.619266817,0.606461953
5752,AARS,16,70252295,70289543,ENST00000261772,AARS,0.455086844,0.463717844
8540,NDST1,5,150508112,150558211,ENST00000261797,NDST1,0.606457858,0.596784161
3373,CSNK1A1,5,149492197,149551397,ENST00000261798,CSNK1A1,0.363702232,0.335336058
1101,PFDN1,5,140245039,140303121,ENST00000261813,PFDN1,0.153125771,0.134517093
6801,EIF3J,15,44537057,44562803,ENST00000261868,EIF3J,0.476600483,0.512243824
2458,TRIP4,15,64387804,64455303,ENST00000261884,TRIP4,0.39090478,0.270060653
4863,RAB11A,15,65869458,65891991,ENST00000261890,RAB11A,0.426122895,0.420689249
9214,FAF2,5,176448355,176510074,ENST00000261942,FAF2,0.654205327,0.633808576
2432,RBM25,14,73058436,73123898,ENST00000261973,RBM25,0.263390595,0.267935338
8741,SPAG9,17,50962174,51120865,ENST00000262013,SPAG9,0.62567782,0.607826346
4716,PTGES3,12,56663343,56688300,ENST00000262033,PTGES3,0.433843795,0.412683973
4518,EIF4B,12,53006158,53042209,ENST00000262056,EIF4B,0.441221408,0.403120763
1971,COPZ1,12,54325127,54351849,ENST00000262061,COPZ1,0.221935942,0.227198105
5755,NUP153,6,17615038,17706387,ENST00000262077,NUP153,0.478070677,0.463843567
2280,WDR59,16,74871367,74985148,ENST00000262144,WDR59,0.285946182,0.254863456
8414,DNAJB6,7,157336966,157417439,ENST00000262177,DNAJB6,0.617370305,0.590277696
8938,RHEB,7,151466012,151519924,ENST00000262187,RHEB,0.644842305,0.618667707
1189,PSMB1,6,170535117,170553341,ENST00000262193,PSMB1,0.139939831,0.144911253
9255,TRAM1,8,70573442,70608369,ENST00000262213,TRAM1,0.65945592,0.636441043
4697,TMED2,12,123584531,123598577,ENST00000262225,TMED2,0.423759173,0.411239446
7868,YY1,14,100238985,100282792,ENST00000262238,YY1,0.563000958,0.562337235
NA.34,ELOB,16,2771414,2777277,ENST00000262306,NA,NA,NA
1395,TELO2,16,1493363,1510457,ENST00000262319,TELO2,0.166356468,0.170658956
4128,CREBBP,16,3725054,3880726,ENST00000262367,CREBBP,0.388570727,0.381860097
1362,MGRN1,16,4624790,4690974,ENST00000262370,MGRN1,0.366690462,0.16686712
5042,N4BP1,16,48538726,48610209,ENST00000262384,N4BP1,0.458017586,0.430671833
2674,WSB1,17,27294080,27315926,ENST00000262394,WSB1,0.36141278,0.288461538
9744,ERP44,9,99979179,100099040,ENST00000262455,ERP44,0.699952615,0.668449512
1773,SETD1A,16,30957294,30984664,ENST00000262519,SETD1A,0.2450379,0.208633327
4044,ZC3H3,8,143437655,143541453,ENST00000262577,ZC3H3,0.35995216,0.376718065
745,RPL8,8,144789770,144792587,ENST00000262584,RPL8,0.073171142,0.087514834
2204,RBM42,19,35629049,35637686,ENST00000262633,RBM42,0.269528649,0.248313073
7155,IMPAD1,8,56957933,56993844,ENST00000262644,IMPAD1,0.533830822,0.529204041
7746,RAB2A,8,60516857,60623627,ENST00000262646,RAB2A,0.615400701,0.556883111
3608,ELL,19,18442663,18522127,ENST00000262809,ELL,0.384495273,0.350113621
1550,COPE,19,18899514,18919397,ENST00000262812,COPE,0.182379396,0.185492683
955,MAU2,19,19320681,19358755,ENST00000262815,MAU2,0.105326866,0.116544507
9523,ATRN,20,3471040,3651122,ENST00000262919,ATRN,0.636539642,0.6539382
860,ARPC1A,7,99325910,99366257,ENST00000262942,ARPC1A,0.20224024,0.103557857
NA.35,MYDGF,19,4657545,4670370,ENST00000262947,NA,NA,NA
4592,MAP2K2,19,4090321,4124129,ENST00000262948,MAP2K2,0.417956388,0.40668379
NA.36,YJU2,19,4247079,4269090,ENST00000262962,NA,NA,NA
4441,PIAS4,19,4007646,4039386,ENST00000262971,PIAS4,0.330439983,0.399527694
7379,ZNF330,4,141220887,141234697,ENST00000262990,ZNF330,0.539629795,0.539266412
3758,MAPK3,16,30114105,30123294,ENST00000263025,MAPK3,0.399261818,0.359140098
4093,CAPZA1,1,112619173,112671619,ENST00000263168,CAPZA1,0.387432444,0.379723737
3894,UBE2R2,9,33817567,33920404,ENST00000263228,UBE2R2,0.360392245,0.366734033
3745,ACTR3,2,113889960,113962596,ENST00000263238,ACTR3,0.475016479,0.358543675
4623,DDX18,2,117814650,117832379,ENST00000263239,DDX18,0.368703775,0.408177902
6441,ARFGAP3,22,42796502,42857402,ENST00000263245,ARFGAP3,0.50825674,0.49500537
8251,DESI1,22,41598028,41621096,ENST00000263256,DESI1,0.625286943,0.581391016
3002,AP2S1,19,46838167,46850992,ENST00000263270,AP2S1,0.316822912,0.311448358
6944,STRN4,19,46719507,46746480,ENST00000263280,STRN4,0.526049754,0.518287716
5307,CLNS1A,11,77616195,77637751,ENST00000263309,CLNS1A,0.465199931,0.442208551
4831,TCF25,16,89873612,89911384,ENST00000263346,TCF25,0.438883658,0.419129241
8662,NAPA,19,47487637,47515240,ENST00000263354,NAPA,0.605893339,0.603947953
4630,BRD4,19,15235519,15280451,ENST00000263377,BRD4,0.444770399,0.408345455
3210,FAM32A,19,16185418,16192046,ENST00000263384,FAM32A,0.311476694,0.325099943
4632,VPS26A,10,69124152,69172856,ENST00000263559,VPS26A,0.43283331,0.408424649
9383,CD81,11,2377294,2397419,ENST00000263645,CD81,0.624197489,0.644341364
2030,PNO1,2,68157844,68176238,ENST00000263657,PNO1,0.252573078,0.233718572
1713,SPCS2,11,74949247,74979031,ENST00000263672,SPCS2,0.236828275,0.202778842
6075,DNAJC8,1,28200278,28233025,ENST00000263697,DNAJC8,0.513009958,0.478846963
7029,FAM20B,1,179025896,179076562,ENST00000263733,FAM20B,0.531424625,0.522192096
2988,FNBP4,11,47716517,47767301,ENST00000263773,FNBP4,0.2977915,0.310195588
1184,NDUFS3,11,47579010,47584562,ENST00000263774,NDUFS3,0.14194988,0.144555468
5511,CHMP2B,3,87227285,87255499,ENST00000263780,CHMP2B,0.525766877,0.451197428
4989,OSBP,11,59574398,59616144,ENST00000263847,OSBP,0.435689719,0.428510094
3980,CHMP3,2,86503431,86563477,ENST00000263856,CHMP3,0.410261688,0.372510498
2357,USE1,19,17215359,17219829,ENST00000263897,USE1,0.299860881,0.26147691
848,GTF3C3,2,196763032,196799701,ENST00000263956,GTF3C3,0.154803414,0.102033196
5501,COQ10B,2,197453423,197475308,ENST00000263960,COQ10B,0.436271496,0.450561672
3597,HAT1,2,171922465,171983682,ENST00000264108,HAT1,0.380588915,0.349467379
957,RAB3GAP1,2,135052265,135170706,ENST00000264158,RAB3GAP1,0.122355211,0.11675906
3799,DARS,2,135906677,135985684,ENST00000264161,DARS,0.3507783,0.361549759
2655,MUL1,1,20499448,20508161,ENST00000264198,MUL1,0.279528849,0.28694123
2476,TXNDC9,2,99318982,99336462,ENST00000264255,TXNDC9,0.283008239,0.271801982
903,RPL31,2,101001715,101007267,ENST00000264258,RPL31,0.15357838,0.108246051
1645,NOP58,2,202265716,202303666,ENST00000264279,NOP58,0.171486048,0.195056129
5914,YWHAE,17,1344272,1400378,ENST00000264335,YWHAE,0.505876238,0.471240574
4026,COPS4,4,83035090,83075818,ENST00000264389,COPS4,0.361777834,0.375543842
3310,RAPGEF2,4,159267737,159360169,ENST00000264431,RAPGEF2,0.291110311,0.331827297
5882,SLC30A9,4,41990472,42090457,ENST00000264451,SLC30A9,0.50904035,0.470241131
4289,PHRF1,11,576486,612222,ENST00000264555,PHRF1,0.381203354,0.38994494
585,PSMD3,17,39980797,39997960,ENST00000264639,PSMD3,0.078431916,0.058504196
5072,CASC3,17,40140323,40172183,ENST00000264645,CASC3,0.428850608,0.431871729
9094,STAT3,17,42313324,42388568,ENST00000264657,STAT3,0.68787486,0.627020448
10003,PDCD6,5,271621,314974,ENST00000264933,PDCD6,0.69249257,0.683841828
4961,GRPEL1,4,7058906,7068197,ENST00000264954,GRPEL1,0.448647976,0.427283174
10663,LMAN2L,2,96705929,96740063,ENST00000264963,LMAN2L,0.714395915,0.728535944
4957,CDV3,3,133573730,133590261,ENST00000264993,CDV3,0.450438317,0.427126431
1153,MRPL3,3,131462212,131502969,ENST00000264995,MRPL3,0.136845582,0.141271617
6377,DNAJB11,3,186570678,186585799,ENST00000265028,DNAJB11,0.535405571,0.492378571
2421,SSR3,3,156540140,156555184,ENST00000265044,SSR3,0.288757543,0.267305311
7730,RAB7A,3,128726122,128814796,ENST00000265062,RAB7A,0.602486456,0.556347157
6910,GOLPH3,5,32124704,32174350,ENST00000265070,GOLPH3,0.568510955,0.517013327
8215,SUB1,5,32585499,32604079,ENST00000265073,SUB1,0.61275627,0.579979179
NA.37,ATP6V0E1,5,172983816,173034892,ENST00000265093,NA,NA,NA
4202,SEC24B,4,109433815,109540896,ENST00000265175,SEC24B,0.399876568,0.385628042
2119,PAIP2,5,139341832,139369698,ENST00000265192,PAIP2,0.238062635,0.241744762
5832,LSG1,3,194640788,194672477,ENST00000265245,LSG1,0.477063442,0.467504588
2952,UBE2B,5,134371179,134391992,ENST00000265339,UBE2B,0.277569725,0.308596453
3619,AFF4,5,132875379,132963634,ENST00000265343,AFF4,0.413782618,0.350850807
6491,PRDX5,11,64318088,64321811,ENST00000265462,PRDX5,0.527135937,0.497206823
9039,PRKAR2A,3,48746579,48847846,ENST00000265563,PRKAR2A,0.599317809,0.623647532
NA.38,BUD23,7,73683568,73698212,ENST00000265758,NA,NA,NA
1889,GET4,7,876552,896434,ENST00000265857,GET4,0.196352844,0.219031949
5135,HNRNPH3,10,68332075,68343187,ENST00000265866,HNRNPH3,0.486485579,0.43470932
2945,SNX19,11,130875436,130916509,ENST00000265909,SNX19,0.409775149,0.30793596
6015,TMEM115,3,50354749,50359610,ENST00000266025,TMEM115,0.54343528,0.476144965
6033,GNAI2,3,50230776,50259339,ENST00000266027,GNAI2,0.46443463,0.47656655
930,GID8,20,62938119,62948475,ENST00000266069,GID8,0.10458271,0.1125794
2077,PRPF6,20,63981135,64033100,ENST00000266079,PRPF6,0.282729001,0.237455497
4560,ZCRB1,12,42312078,42326105,ENST00000266529,ZCRB1,0.423743809,0.405159082
986,SNRPF,12,95858928,95867053,ENST00000266735,SNRPF,0.116733601,0.120202474
7622,C12orf10,12,53299686,53307158,ENST00000267103,C12orf10,0.586845495,0.549420144
6748,TMBIM6,12,49741557,49764933,ENST00000267115,TMBIM6,0.556758511,0.51018046
5287,ANKRD52,12,56237807,56258391,ENST00000267116,ANKRD52,0.397114268,0.441612534
1454,SETD1B,12,121804738,121830239,ENST00000267197,SETD1B,0.106494529,0.176490268
9137,VPS37B,12,122865328,122896444,ENST00000267202,VPS37B,0.656147237,0.629338694
6182,ANKRD10,13,110878540,110915069,ENST00000267339,ANKRD10,0.46860007,0.483757972
2372,NOP9,14,24299862,24309124,ENST00000267425,NOP9,0.281419229,0.262803939
3411,EMC4,15,34224999,34230156,ENST00000267750,EMC4,0.338926866,0.33851416
2196,MFAP1,15,43804492,43824802,ENST00000267812,MFAP1,0.234167087,0.247481888
3522,SRP14,15,40035739,40039188,ENST00000267884,SRP14,0.340629976,0.345108181
8428,FURIN,15,90868592,90883458,ENST00000268171,FURIN,0.626171966,0.590771856
5182,DHX38,16,72093562,72112912,ENST00000268482,DHX38,0.432256384,0.437005243
NA.39,MAP1LC3B,16,87391800,87404779,ENST00000268607,NA,NA,NA
1532,NDUFB10,16,1959508,1961975,ENST00000268668,NDUFB10,0.191734063,0.183830783
3192,SPG7,16,89508410,89557744,ENST00000268704,SPG7,0.321906381,0.324102017
1641,MED9,17,17476986,17493226,ENST00000268711,MED9,0.21401433,0.194476882
4099,NOB1,16,69741867,69754940,ENST00000268802,NOB1,0.411401622,0.379918315
8581,AFG3L2,18,12328944,12377314,ENST00000269143,AFG3L2,0.618033105,0.599530006
9240,SLC39A6,18,36108532,36129318,ENST00000269187,SLC39A6,0.61237445,0.635389867
9365,GALNT1,18,35654560,35711834,ENST00000269195,GALNT1,0.666081,0.643461086
7509,ARHGDIA,17,81867721,81871406,ENST00000269321,ARHGDIA,0.577245383,0.545275499
1755,EIF4A3,17,80135214,80147183,ENST00000269349,EIF4A3,0.181105581,0.207008321
7662,FN3KRP,17,82716683,82728017,ENST00000269373,FN3KRP,0.582647405,0.551653558
5956,SH3GL1,19,4360370,4400547,ENST00000269886,SH3GL1,0.463826767,0.473222305
6394,CCDC97,19,41310189,41324883,ENST00000269967,CCDC97,0.493905549,0.493174507
4609,SOD1,21,31659622,31668931,ENST00000270142,SOD1,0.455878664,0.407223109
4377,ECSIT,19,11505916,11529174,ENST00000270517,ECSIT,0.377843689,0.39540651
1218,PSMB6,17,4796144,4798503,ENST00000270586,PSMB6,0.169552177,0.14975149
344,RPS11,19,49496374,49499689,ENST00000270625,RPS11,0.023505671,0.006371244
2344,MPC2,1,167918068,167937040,ENST00000271373,MPC2,0.239369458,0.259871412
6788,PRCC,1,156767500,156800817,ENST00000271526,PRCC,0.548713042,0.51172871
1823,SF3B4,1,149923317,149928344,ENST00000271628,SF3B4,0.262400235,0.213511399
5742,ENSA,1,150623281,150629577,ENST00000271690,ENSA,0.49705374,0.463425977
9832,EIF2D,1,206591642,206612459,ENST00000271764,EIF2D,0.586958782,0.673665745
1576,JTB,1,153974269,153977688,ENST00000271843,JTB,0.22262003,0.187425788
5328,ACP1,2,264872,278283,ENST00000272065,ACP1,0.466006828,0.443512785
NA.40,ARF1,1,228082660,228099212,ENST00000272102,NA,NA,NA
6889,ARL8A,1,202133404,202144741,ENST00000272217,ARL8A,0.533178197,0.516007139
8636,PDIA6,2,10783391,10812844,ENST00000272227,PDIA6,0.621862675,0.602703643
1036,RPS27A,2,55232402,55235853,ENST00000272317,RPS27A,0.126518027,0.126602152
493,SNRPG,2,70281362,70293771,ENST00000272348,SNRPG,0.035050372,0.03976928
1492,MRPS5,2,95087207,95122000,ENST00000272418,MRPS5,0.170323436,0.180208537
NA.41,TEX261,2,70985938,70994945,ENST00000272438,NA,NA,NA
5344,DUSP11,2,73762184,73780157,ENST00000272444,DUSP11,0.429887092,0.444208142
2577,UBE2F,2,237966955,238042595,ENST00000272930,UBE2F,0.296860703,0.279762519
8911,RAB5A,3,19947079,19985175,ENST00000273047,RAB5A,0.619632693,0.617270179
5887,CTDSP1,2,218399755,218405941,ENST00000273062,CTDSP1,0.526310133,0.470342292
7963,DYNC1LI1,3,32525971,32570874,ENST00000273130,DYNC1LI1,0.557540575,0.566746017
NA.42,SEC22C,3,42547971,42582028,ENST00000273156,NA,NA,NA
NA.43,SLC25A38,3,39383324,39397351,ENST00000273158,NA,NA,NA
8144,IQSEC1,3,12897220,12967668,ENST00000273221,IQSEC1,0.59567071,0.575973005
361,RPL32,3,12836047,12841546,ENST00000273223,RPL32,-0.003663914,0.010704357
9541,ARL6IP5,3,69084944,69106066,ENST00000273258,ARL6IP5,0.688835293,0.655158306
290,RNF7,3,141738204,141747560,ENST00000273480,RNF7,0.005860498,-0.004332642
NA.44,TCTA,3,49412206,49416475,ENST00000273590,NA,NA,NA
NA.45,PYURF,4,88520985,88523813,ENST00000273968,NA,NA,NA
841,RPS3A,4,151099573,151104652,ENST00000274065,RPS3A,0.11160382,0.100901919
1048,NDUFS6,5,1801400,1816605,ENST00000274137,NDUFS6,0.15504851,0.127966311
170,RPL37,5,40825262,40835335,ENST00000274242,RPL37,-0.037029766,-0.052980117
1488,NHP2,5,178149460,178153967,ENST00000274606,NHP2,0.176332343,0.180045213
1137,ZMAT2,5,140700334,140706676,ENST00000274712,ZMAT2,0.107588672,0.139643086
NA.46,HIGD2A,5,176388747,176389771,ENST00000274787,NA,NA,NA
NA.47,RNF44,5,176526697,176537420,ENST00000274811,NA,NA,NA
5166,MUT,6,49430360,49463191,ENST00000274813,MUT,0.484288981,0.436308006
2750,CCT6A,7,56051630,56063989,ENST00000275603,CCT6A,0.284314974,0.294499891
3806,GIGYF1,7,100679507,100689448,ENST00000275732,GIGYF1,0.355573981,0.361891445
741,NDUFB11,X,47142220,47145038,ENST00000276062,NDUFB11,0.080366269,0.087129808
3450,NONO,X,71283583,71301168,ENST00000276079,NONO,0.350941351,0.340384032
10438,ATP6V1B2,8,20197367,20221701,ENST00000276390,ATP6V1B2,0.746962035,0.71335536
4954,ARMC1,8,65602456,65634207,ENST00000276569,ARMC1,0.445161668,0.426954178
1075,MRPS28,8,79918717,80030271,ENST00000276585,MRPS28,0.194999826,0.131995808
704,EIF3H,8,116644833,116766255,ENST00000276682,EIF3H,0.121933329,0.081768448
1935,NDUFB9,8,124539103,124549979,ENST00000276689,NDUFB9,0.336062283,0.223559408
5796,BCCIP,10,125823546,125836553,ENST00000278100,BCCIP,0.491815319,0.465940212
9511,HSD17B12,11,43680558,43856610,ENST00000278353,HSD17B12,0.664726885,0.653062601
3322,SSRP1,11,57325985,57335877,ENST00000278412,SSRP1,0.360050617,0.332372038
5404,TMX2,11,57712607,57740973,ENST00000278422,TMX2,0.477396626,0.447155241
8502,AASDHPPT,11,106077489,106098710,ENST00000278618,AASDHPPT,0.616145503,0.59455958
4193,LAMTOR1,11,72097292,72103387,ENST00000278671,LAMTOR1,0.377215445,0.385229722
9463,LSM14B,20,62122507,62135378,ENST00000279068,LSM14B,0.685358305,0.65
8452,AIP,11,67483041,67491103,ENST00000279146,AIP,0.651359911,0.592399251
761,MRPL49,11,65122328,65127371,ENST00000279242,MRPL49,0.138286538,0.090235397
1565,VPS51,11,65096159,65111860,ENST00000279281,VPS51,0.1766206,0.186687644
5852,TAOK2,16,29974281,29992261,ENST00000279394,TAOK2,0.422669235,0.468486308
2248,DENR,12,122752774,122771064,ENST00000280557,DENR,0.26122195,0.25274089
NA.48,NDUFC2,11,78068304,78080219,ENST00000281031,NA,NA,NA
5319,CDC123,10,12195966,12250588,ENST00000281141,CDC123,0.456327389,0.442981221
7831,VPS26B,11,134224645,134247792,ENST00000281187,VPS26B,0.629761637,0.560301219
NA.49,MZT2B,2,130181928,130190727,ENST00000281871,NA,NA,NA
1682,ARL14EP,11,30323051,30338227,ENST00000282032,ARL14EP,0.281603675,0.198954095
1351,USP12,13,27066142,27171896,ENST00000282344,USP12,0.184559277,0.165735087
1073,MED21,12,27022550,27029749,ENST00000282892,MED21,0.092138972,0.131878412
NA.50,SRP19,5,112861305,112867935,ENST00000282999,NA,NA,NA
6375,NUBP1,16,10743845,10769351,ENST00000283027,NUBP1,0.495094551,0.492343087
1289,SMARCA5,4,143513463,143557486,ENST00000283131,SMARCA5,0.145221278,0.158937061
1569,HNRNPU,1,244853752,244864494,ENST00000283179,HNRNPU,0.133442958,0.186815953
1387,RANBP2,2,108719481,108785811,ENST00000283195,RANBP2,0.222901099,0.169926704
6423,ATG3,3,112532509,112561963,ENST00000283290,ATG3,0.506668853,0.494292858
NA.51,TMEM251,14,93184951,93187086,ENST00000283534,NA,NA,NA
2753,RMND5A,2,86720173,86778041,ENST00000283632,RMND5A,0.327521255,0.294694703
10279,RPIA,2,88691644,88750935,ENST00000283646,RPIA,0.725026903,0.702856626
5779,CFDP1,16,75293710,75433485,ENST00000283882,CFDP1,0.439824294,0.465110202
4914,TRIP12,2,229763838,229922009,ENST00000283943,TRIP12,0.464587466,0.424574831
NA.52,TOMM70,3,100363431,100401398,ENST00000284320,NA,NA,NA
NA.53,ATP5PF,21,25724480,25734972,ENST00000284971,NA,NA,NA
7511,XPC,3,14145147,14178783,ENST00000285021,XPC,0.564091344,0.54532347
4917,FLCN,17,17212212,17237139,ENST00000285071,FLCN,0.395243682,0.424798438
5538,ANKRD40,17,50693190,50707924,ENST00000285243,ANKRD40,0.474662061,0.452478485
1192,MRPS17,7,55951819,55956501,ENST00000285298,MRPS17,0.131874112,0.145302578
2382,LONP2,16,48244296,48357349,ENST00000285737,LONP2,0.286492912,0.263935216
NA.54,NIFK,2,121726945,121736923,ENST00000285814,NA,NA,NA
3120,VBP1,X,155216366,155239817,ENST00000286428,VBP1,0.318378261,0.318362916
5536,WHAMM,15,82809628,82836108,ENST00000286760,WHAMM,0.482005689,0.452210449
NA.55,ATP5MPL,14,103912288,103921557,ENST00000286953,NA,NA,NA
2717,RPL30,8,98041721,98045590,ENST00000287038,RPL30,0.256249448,0.292036646
4455,FBRS,16,30664457,30670810,ENST00000287468,FBRS,0.457052915,0.400330447
6239,PDE6D,2,231732425,231781309,ENST00000287600,PDE6D,0.559730101,0.486055419
7002,ABCF2,7,151212490,151227230,ENST00000287844,ABCF2,0.520142958,0.521036244
NA.56,ODR4,1,186375869,186421378,ENST00000287859,NA,NA,NA
2662,GATAD1,7,92447448,92459432,ENST00000287957,GATAD1,0.284596156,0.287725766
8988,APPL1,3,57227737,57273468,ENST00000288266,APPL1,0.644393684,0.621227061
2181,COQ5,12,120503274,120529182,ENST00000288532,COQ5,0.227414174,0.246132769
932,MRPL17,11,6680782,6683401,ENST00000288937,MRPL17,0.103142717,0.112725803
7486,ACTR1B,2,97655963,97664107,ENST00000289228,ACTR1B,0.548822467,0.544318197
5156,EIF5B,2,99337353,99401326,ENST00000289371,EIF5B,0.413711428,0.436024365
1409,CNOT11,2,101252802,101270316,ENST00000289382,CNOT11,0.168391827,0.171315303
4216,ZNF276,16,89720985,89740903,ENST00000289816,ZNF276,0.392904025,0.386242879
5527,KPNB1,17,47649838,47685505,ENST00000290158,KPNB1,0.433073296,0.451826751
4453,NCOA5,20,46060985,46089952,ENST00000290231,NCOA5,0.428462969,0.400139118
7755,OGFR,20,62804835,62814000,ENST00000290291,OGFR,0.551234344,0.557156957
NA.57,ATP5PO,21,33903453,33915980,ENST00000290299,NA,NA,NA
869,PSMB4,1,151399534,151401944,ENST00000290541,PSMB4,0.088324714,0.104450847
3561,AMFR,16,56361452,56425538,ENST00000290649,AMFR,0.368509048,0.347516667
